Player,First,Last,Nickname,Ht,Wt,Reach,Stance,DOB,W,L,D,Belt,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,URL
Tom Aaron,Tom,Aaron,,--,155 lbs.,--,,"Jul 13, 1978",5,3,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/93fe7332d16c6ad9
Danny Abbadi,Danny,Abbadi,The Assassin,"5' 11""",155 lbs.,--,Orthodox,"Jul 03, 1983",4,6,0,,3.29,38%,4.41,57%,0.00,0%,77%,0.0,http://www.ufcstats.com/fighter-details/15df64c02b6b0fde
Nariman Abbasov,Nariman,Abbasov,Bayraktar,"5' 8""",155 lbs.,"66.0""",Orthodox,"Feb 01, 1994",28,4,0,,3.00,20%,5.67,46%,0.00,0%,66%,0.0,http://www.ufcstats.com/fighter-details/59a9d6dac61c2540
Darion Abbey,Darion,Abbey,,"6' 2""",265 lbs.,"80.0""",Orthodox,"Feb 25, 1993",9,5,0,,8.44,50%,14.06,28%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/4961467134abd8be
David Abbott,David,Abbott,Tank,"6' 0""",265 lbs.,--,Switch,"Apr 26, 1965",10,15,0,,1.35,30%,3.55,38%,1.07,33%,66%,0.0,http://www.ufcstats.com/fighter-details/b361180739bed4b0
Hamdy Abdelwahab,Hamdy,Abdelwahab,The Hammer,"6' 2""",265 lbs.,"72.0""",Southpaw,"Jan 22, 1993",7,1,0,,4.27,55%,3.67,51%,3.25,65%,100%,0.0,http://www.ufcstats.com/fighter-details/3329d692aea4dc28
Farida Abdueva,Farida,Abdueva,,--,115 lbs.,--,,"May 15, 2004",6,1,0,,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/8f3837b4c06f3d1e
Mansur Abdul-Malik,Mansur,Abdul-Malik,,"6' 2""",185 lbs.,"80.0""",Orthodox,"Oct 07, 1997",9,0,1,,4.18,48%,3.46,51%,0.94,50%,83%,0.5,http://www.ufcstats.com/fighter-details/841695e02c99a521
Shamil Abdurakhimov,Shamil,Abdurakhimov,Abrek,"6' 3""",235 lbs.,"76.0""",Orthodox,"Sep 02, 1981",20,8,0,,2.41,44%,3.02,55%,1.01,23%,45%,0.1,http://www.ufcstats.com/fighter-details/2f5cbecbbe18bac4
Hiroyuki Abe,Hiroyuki,Abe,Abe Ani,"5' 6""",145 lbs.,--,Orthodox,"Feb 09, 1970",8,15,3,,1.71,36%,3.11,63%,0.00,0%,33%,0.0,http://www.ufcstats.com/fighter-details/c0ed7b208197e8de
Daichi Abe,Daichi,Abe,,"5' 11""",170 lbs.,"71.0""",Orthodox,"Nov 27, 1991",6,2,0,,3.80,33%,4.49,56%,0.33,50%,0%,0.0,http://www.ufcstats.com/fighter-details/5140122c3eecd307
Papy Abedi,Papy,Abedi,Makambo,"5' 11""",185 lbs.,--,Southpaw,"Jun 30, 1978",10,4,0,,2.80,55%,3.15,48%,3.47,57%,50%,1.3,http://www.ufcstats.com/fighter-details/c9f6385af6df66d7
Ricardo Abreu,Ricardo,Abreu,Demente,"5' 11""",185 lbs.,--,Orthodox,"Apr 27, 1984",5,1,0,,3.79,31%,3.98,68%,2.13,42%,100%,0.7,http://www.ufcstats.com/fighter-details/aa6e591c2a2cdecd
Klidson Abreu,Klidson,Abreu,White Bear,"6' 0""",205 lbs.,"74.0""",Orthodox,"Dec 24, 1992",15,4,0,,2.05,40%,2.90,55%,0.64,20%,80%,0.0,http://www.ufcstats.com/fighter-details/7279654c7674cd24
